"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",8111
"af","Africa","afben","Benin","ben",41167
"af","Africa","afbfa","Burkina Faso","bfa",1649
"af","Africa","afbwa","Botswana","bwa",251350
"af","Africa","afciv","Cote d'Ivoire","civ",1313.0000000000002
"af","Africa","afcod","Democratic Republic of the Congo","cod",28381.999999999996
"af","Africa","afcpv","Cape Verde","cpv",259
"af","Africa","aferi","Eritrea","eri",258
"af","Africa","afeth","Ethiopia","eth",770
"af","Africa","afgab","Gabon","gab",8405
"af","Africa","afgha","Ghana","gha",16940.999999999996
"af","Africa","afgin","Guinea","gin",5156.000000000001
"af","Africa","afgmb","Gambia","gmb",2796.9999999999995
"af","Africa","afgnq","Equatorial Guinea","gnq",191
"af","Africa","afken","Kenya","ken",1556
"af","Africa","aflso","Lesotho","lso",1308
"af","Africa","afmar","Morocco","mar",593956235
"af","Africa","afmoz","Mozambique","moz",3000
"af","Africa","afmus","Mauritius","mus",11509
"af","Africa","afmwi","Malawi","mwi",26162
"af","Africa","afnam","Namibia","nam",26035
"af","Africa","afner","Niger","ner",226.99999999999997
"af","Africa","afnga","Nigeria","nga",24009
"af","Africa","afsen","Senegal","sen",25442
"af","Africa","afssd","South Sudan","ssd",16514
"af","Africa","afswz","Eswatini","swz",377551.99999999994
"af","Africa","aftza","Tanzania","tza",9938
"af","Africa","afuga","Uganda","uga",4198
"af","Africa","afzaf","South Africa","zaf",2113157
"af","Africa","afzmb","Zambia","zmb",987
"af","Africa","afzwe","Zimbabwe","zwe",773
"as","Asia","asare","United Arab Emirates","are",41780.00000000001
"as","Asia","asarm","Armenia","arm",470131215
"as","Asia","asaze","Azerbaijan","aze",361997488
"as","Asia","asbgd","Bangladesh","bgd",3217
"as","Asia","asbhr","Bahrain","bhr",72.00000000000001
"as","Asia","asbrn","Brunei","brn",22223.999999999996
"as","Asia","aschn","China","chn",19281832984
"as","Asia","asgeo","Georgia","geo",423755874
"as","Asia","ashkg","Hong Kong","hkg",2090631172.9999998
"as","Asia","asidn","Indonesia","idn",25546
"as","Asia","asind","India","ind",20890
"as","Asia","asirn","Iran","irn",434982
"as","Asia","asirq","Iraq","irq",905
"as","Asia","asisr","Israel","isr",45419000
"as","Asia","asjpn","Japan","jpn",14080
"as","Asia","askaz","Kazakhstan","kaz",255477135
"as","Asia","askgz","Kyrgyzstan","kgz",66861624
"as","Asia","askhm","Cambodia","khm",203
"as","Asia","askor","South Korea","kor",13773
"as","Asia","askwt","Kuwait","kwt",34088
"as","Asia","aslao","Laos","lao",3704788
"as","Asia","aslbn","Lebanon","lbn",3730
